,Num_Extra_Tickets,Flight_number,Revenue
0,0,0,59160
1,0,1,58812
2,0,2,59160
3,0,3,59508
4,0,4,58116
5,0,5,59160
6,0,6,60552
7,0,7,58812
8,0,8,58464
9,0,9,57072
10,0,10,59508
11,0,11,59508
12,0,12,59856
13,0,13,57420
14,0,14,58464
15,0,15,59160
16,0,16,59160
17,0,17,57768
18,0,18,58464
19,0,19,59508
20,0,20,58464
21,0,21,59160
22,0,22,59508
23,0,23,58116
24,0,24,59160
25,0,25,57072
26,0,26,59856
27,0,27,57420
28,0,28,58116
29,0,29,59160
30,0,30,58116
31,0,31,58812
32,0,32,58812
33,0,33,58464
34,0,34,59508
35,0,35,60552
36,0,36,58464
37,0,37,58812
38,0,38,57768
39,0,39,56724
40,0,40,57768
41,0,41,58464
42,0,42,57768
43,0,43,58464
44,0,44,58116
45,0,45,59508
46,0,46,58116
47,0,47,58812
48,0,48,57420
49,0,49,57072
50,0,50,59160
51,0,51,58464
52,0,52,59856
53,0,53,59508
54,0,54,58116
55,0,55,57768
56,0,56,60204
57,0,57,59856
58,0,58,57768
59,0,59,57072
60,0,60,58464
61,0,61,58464
62,0,62,58464
63,0,63,59508
64,0,64,56376
65,0,65,56724
66,0,66,58464
67,0,67,56724
68,0,68,58464
69,0,69,59508
70,0,70,57768
71,0,71,59856
72,0,72,59856
73,0,73,59160
74,0,74,56376
75,0,75,56028
76,0,76,59160
77,0,77,58116
78,0,78,56724
79,0,79,57768
80,0,80,58464
81,0,81,59160
82,0,82,59856
83,0,83,59508
84,0,84,59856
85,0,85,59160
86,0,86,57420
87,0,87,58464
88,0,88,58464
89,0,89,57420
90,0,90,57768
91,0,91,59160
92,0,92,59508
93,0,93,58464
94,0,94,59508
95,0,95,56376
96,0,96,58116
97,0,97,57072
98,0,98,58464
99,0,99,58464
100,0,100,59508
101,0,101,59508
102,0,102,59160
103,0,103,59160
104,0,104,59856
105,0,105,58464
106,0,106,58464
107,0,107,59856
108,0,108,58464
109,0,109,59160
110,0,110,60204
111,0,111,59160
112,0,112,59856
113,0,113,58116
114,0,114,58464
115,0,115,58464
116,0,116,58464
117,0,117,58464
118,0,118,58116
119,0,119,57768
120,0,120,58464
121,0,121,59160
122,0,122,58812
123,0,123,59160
124,0,124,58116
125,0,125,59856
126,0,126,60204
127,0,127,58116
128,0,128,59160
129,0,129,59508
130,0,130,57072
131,0,131,59856
132,0,132,58812
133,0,133,59856
134,0,134,57768
135,0,135,58464
136,0,136,58812
137,0,137,58116
138,0,138,58812
139,0,139,59160
140,0,140,58116
141,0,141,58464
142,0,142,57768
143,0,143,59508
144,0,144,59856
145,0,145,58812
146,0,146,59508
147,0,147,59160
148,0,148,59508
149,0,149,58812
150,0,150,58812
151,0,151,59160
152,0,152,59160
153,0,153,56028
154,0,154,59160
155,0,155,58116
156,0,156,57420
157,0,157,58116
158,0,158,58812
159,0,159,59508
160,0,160,59160
161,0,161,60204
162,0,162,58116
163,0,163,59160
164,0,164,59160
165,0,165,59160
166,0,166,58116
167,0,167,57072
168,0,168,59508
169,0,169,57768
170,0,170,59160
171,0,171,59508
172,0,172,57768
173,0,173,57072
174,0,174,57768
175,0,175,56724
176,0,176,58812
177,0,177,58464
178,0,178,59160
179,0,179,58812
180,0,180,60204
181,0,181,59160
182,0,182,57768
183,0,183,57072
184,0,184,59160
185,0,185,57768
186,0,186,58116
187,0,187,58464
188,0,188,58464
189,0,189,59508
190,0,190,57072
191,0,191,59160
192,0,192,58812
193,0,193,58464
194,0,194,57072
195,0,195,60204
196,0,196,58116
197,0,197,60204
198,0,198,58812
199,0,199,59160
200,0,200,57768
201,0,201,57072
202,0,202,58812
203,0,203,56724
204,0,204,57072
205,0,205,60204
206,0,206,59856
207,0,207,58464
208,0,208,59508
209,0,209,59160
210,0,210,57768
211,0,211,57420
212,0,212,59160
213,0,213,58812
214,0,214,58116
215,0,215,59160
216,0,216,58812
217,0,217,58464
218,0,218,59160
219,0,219,56724
220,0,220,57072
221,0,221,59160
222,0,222,59160
223,0,223,58812
224,0,224,60204
225,0,225,60552
226,0,226,60204
227,0,227,58812
228,0,228,58116
229,0,229,59160
230,0,230,59160
231,0,231,58464
232,0,232,57768
233,0,233,59508
234,0,234,60204
235,0,235,59508
236,0,236,59856
237,0,237,59160
238,0,238,60204
239,0,239,58464
240,0,240,57768
241,0,241,60552
242,0,242,60204
243,0,243,59508
244,0,244,58116
245,0,245,58464
246,0,246,58464
247,0,247,58812
248,0,248,57768
249,0,249,57768
250,0,250,59508
251,0,251,58464
252,0,252,58116
253,0,253,59508
254,0,254,59160
255,0,255,57768
256,0,256,59160
257,0,257,58812
258,0,258,58464
259,0,259,58812
260,0,260,56724
261,0,261,57768
262,0,262,57420
263,0,263,59508
264,0,264,58464
265,0,265,61248
266,0,266,58116
267,0,267,58812
268,0,268,60204
269,0,269,59508
270,0,270,57420
271,0,271,58116
272,0,272,59856
273,0,273,58464
274,0,274,58464
275,0,275,59856
276,0,276,59856
277,0,277,58464
278,0,278,58812
279,0,279,57768
280,0,280,58812
281,0,281,58812
282,0,282,59856
283,0,283,57768
284,0,284,56376
285,0,285,58464
286,0,286,58812
287,0,287,58812
288,0,288,58464
289,0,289,59160
290,0,290,58116
291,0,291,59856
292,0,292,58116
293,0,293,59508
294,0,294,57420
295,0,295,60204
296,0,296,59160
297,0,297,58464
298,0,298,58116
299,0,299,58812
300,0,300,59508
301,0,301,57420
302,0,302,59160
303,0,303,60552
304,0,304,59856
305,0,305,58116
306,0,306,58812
307,0,307,58116
308,0,308,56028
309,0,309,58464
310,0,310,59508
311,0,311,58116
312,0,312,57420
313,0,313,58812
314,0,314,57768
315,0,315,59160
316,0,316,58116
317,0,317,57768
318,0,318,58812
319,0,319,58812
320,0,320,58116
321,0,321,59160
322,0,322,59160
323,0,323,58464
324,0,324,59508
325,0,325,58812
326,0,326,57420
327,0,327,58812
328,0,328,59856
329,0,329,59160
330,0,330,60204
331,0,331,59160
332,0,332,59856
333,0,333,59508
334,0,334,59508
335,0,335,57768
336,0,336,60552
337,0,337,59856
338,0,338,58464
339,0,339,58464
340,0,340,59160
341,0,341,58116
342,0,342,59856
343,0,343,60204
344,0,344,59508
345,0,345,58464
346,0,346,58812
347,0,347,57768
348,0,348,57072
349,0,349,60900
350,0,350,58812
351,0,351,57072
352,0,352,57768
353,0,353,59508
354,0,354,57420
355,0,355,58116
356,0,356,59160
357,0,357,59856
358,0,358,56724
359,0,359,57420
360,0,360,58812
361,0,361,59856
362,0,362,59160
363,0,363,59160
364,0,364,58464
365,0,365,59508
366,0,366,58116
367,0,367,59508
368,0,368,58464
369,0,369,59856
370,0,370,60204
371,0,371,59856
372,0,372,60204
373,0,373,60204
374,0,374,59508
375,0,375,60204
376,0,376,59508
377,0,377,60900
378,0,378,59160
379,0,379,60204
380,0,380,56724
381,0,381,59160
382,0,382,58812
383,0,383,59508
384,0,384,56724
385,0,385,59856
386,0,386,59856
387,0,387,58812
388,0,388,59160
389,0,389,57768
390,0,390,58812
391,0,391,59160
392,0,392,56724
393,0,393,60552
394,0,394,58116
395,0,395,59508
396,0,396,59508
397,0,397,59508
398,0,398,58812
399,0,399,60204
400,0,400,58116
401,0,401,59160
402,0,402,59856
403,0,403,58116
404,0,404,58116
405,0,405,60900
406,0,406,57768
407,0,407,60204
408,0,408,60204
409,0,409,59856
410,0,410,59160
411,0,411,59856
412,0,412,58464
413,0,413,60900
414,0,414,58812
415,0,415,59856
416,0,416,58464
417,0,417,57768
418,0,418,59160
419,0,419,58116
420,0,420,57768
421,0,421,60900
422,0,422,58464
423,0,423,58812
424,0,424,58464
425,0,425,60900
426,0,426,59160
427,0,427,59160
428,0,428,59856
429,0,429,59160
430,0,430,57072
431,0,431,59508
432,0,432,57768
433,0,433,60204
434,0,434,59508
435,0,435,59856
436,0,436,59508
437,0,437,58464
438,0,438,59856
439,0,439,57768
440,0,440,59508
441,0,441,60900
442,0,442,58116
443,0,443,58464
444,0,444,59160
445,0,445,58464
446,0,446,58812
447,0,447,57072
448,0,448,59508
449,0,449,59508
450,0,450,59160
451,0,451,58464
452,0,452,58464
453,0,453,58116
454,0,454,59160
455,0,455,58812
456,0,456,57420
457,0,457,59856
458,0,458,59160
459,0,459,58464
460,0,460,59856
461,0,461,58812
462,0,462,60204
463,0,463,58812
464,0,464,60204
465,0,465,59856
466,0,466,58464
467,0,467,60900
468,0,468,59856
